endpoint,diff,ci_low,ci_high,p_value,n
CYP1A2,0.021462290627179526,0.011384342470506277,0.031454108299124504,0.0,7060
CYP2C9,0.023379757890937936,0.01472611017715741,0.032203770390022944,0.0,6425
CYP2D6,0.022200689736904533,0.011345595070997775,0.03334113450079112,0.0,7465
CYP3A4,0.011206676257833115,0.0067297423834405375,0.01567209488702029,0.0,11675
