stage,method,endpoint,mode,seconds,recorded
tdi_multitask,tabicl_multitask,fold7,full,991.3,2026-09-14
tdi_multitask,tabpfn_singletask,fold7,full,20.5,2026-09-14
tdi_multitask,tabpfn_multitask,fold7,full,20.7,2026-09-14
tdi_multitask,chemprop_singletask,fold7,full,1765.5,2026-09-14
tdi_multitask,chemprop_multitask,fold7,full,1993.9,2026-09-14
tdi_multitask,majority_singletask,fold7,full,2.7,2026-09-14
tdi_multitask,lgbm_singletask,fold8,full,5.7,2026-09-14
tdi_multitask,lgbm_multitask,fold8,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold8,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold8,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold8,full,15.3,2026-09-14
tdi_multitask,tabicl_multitask,fold8,full,993.9,2026-09-14
tdi_multitask,tabpfn_singletask,fold8,full,21.5,2026-09-14
tdi_multitask,tabpfn_multitask,fold8,full,22.6,2026-09-14
tdi_multitask,chemprop_singletask,fold8,full,1978.3,2026-09-14
tdi_multitask,chemprop_multitask,fold8,full,1885.6,2026-09-14
tdi_multitask,majority_singletask,fold8,full,3.3,2026-09-14
tdi_multitask,lgbm_singletask,fold9,full,7.0,2026-09-14
tdi_multitask,lgbm_multitask,fold9,full,3.0,2026-09-14
tdi_multitask,xgb_singletask,fold9,full,2.0,2026-09-14
tdi_multitask,xgb_multitask,fold9,full,1.3,2026-09-14
tdi_multitask,tabicl_singletask,fold9,full,15.4,2026-09-14
tdi_multitask,tabicl_multitask,fold9,full,14.4,2026-09-14
tdi_multitask,tabpfn_singletask,fold9,full,21.5,2026-09-14
tdi_multitask,tabpfn_multitask,fold9,full,23.0,2026-09-14
tdi_multitask,chemprop_singletask,fold9,full,1995.6,2026-09-15
tdi_multitask,chemprop_multitask,fold9,full,2057.1,2026-09-15
tdi_multitask,majority_singletask,fold9,full,3.5,2026-09-15
tdi_multitask,lgbm_singletask,fold10,full,5.7,2026-09-15
tdi_multitask,lgbm_multitask,fold10,full,3.0,2026-09-15
tdi_multitask,xgb_singletask,fold10,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold10,full,1.2,2026-09-15
tdi_multitask,tabicl_singletask,fold10,full,15.3,2026-09-15
tdi_multitask,tabicl_multitask,fold10,full,14.4,2026-09-15
tdi_multitask,tabpfn_singletask,fold10,full,983.7,2026-09-15
tdi_multitask,tabpfn_multitask,fold10,full,22.2,2026-09-15
tdi_multitask,chemprop_singletask,fold10,full,2008.5,2026-09-15
tdi_multitask,chemprop_multitask,fold10,full,1724.2,2026-09-15
tdi_multitask,majority_singletask,fold10,full,3.5,2026-09-15
tdi_multitask,lgbm_singletask,fold11,full,5.3,2026-09-15
tdi_multitask,lgbm_multitask,fold11,full,3.0,2026-09-15
tdi_multitask,xgb_singletask,fold11,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold11,full,1.2,2026-09-15
tdi_multitask,tabicl_singletask,fold11,full,15.2,2026-09-15
tdi_multitask,tabicl_multitask,fold11,full,940.7,2026-09-15
tdi_multitask,tabpfn_singletask,fold11,full,20.7,2026-09-15
tdi_multitask,tabpfn_multitask,fold11,full,20.7,2026-09-15
tdi_multitask,chemprop_singletask,fold11,full,1987.2,2026-09-15
