molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL121040,CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(C)cc1,4.70,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL432386,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,6.22,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL121323,CC(C)N(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.10,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,5.22,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL170132,CC(C)n1c(/C=C/[C@@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,5.48,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.70,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL353413,Cc1nn(C)c(C)c1NC(=O)c1ccccc1NS(=O)(=O)c1cc(Cl)sc1Cl,4.77,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL443542,CN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.00,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,4.50,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1615209,COCCCOc1ccnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c1C,4.44,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL368348,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.22,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL171828,Nc1c(Oc2ccc(Cl)cc2Cl)ccc(Cl)c1S(=O)(=O)O,4.70,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL330871,CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.05,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL331485,CCCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.30,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL332958,Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1,5.00,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL173038,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.22,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,6.30,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL2110340,[O-][S@+](Cc1cc(OCC2CC2)ccn1)c1nc2cc(F)ccc2[nH]1,4.03,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,6.22,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL120183,CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,4.26,IC50,=,A,CHEMBL659091,CHEMBL1134658
CHEMBL1344,COc1ccc2[nH]c(S(=O)(=O)Cc3ncc(C)c(OC)c3C)nc2c1,4.46,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL2110248,[O-][S@@+](Cc1cc(OCC2CC2)ccn1)c1nc2cc(F)ccc2[nH]1,4.22,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL3526697,COc1ccnc(C[S@+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,4.19,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL814,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,5.07,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,4.29,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,6.55,Ki,=,A,CHEMBL661230,CHEMBL1148414
CHEMBL170417,CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,5.66,Ki,=,A,CHEMBL661229,CHEMBL1148414
CHEMBL112532,CCCCOc1ccc(-n2ccnc2)cc1,7.02,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL151646,CCCCOc1ccc(-c2cccnc2)cc1,5.12,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL422858,CCCCOc1ccc(-c2cc(C)no2)cc1,5.28,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL434317,CCCCOc1ccc(-c2[nH]ncc2C)cc1,5.06,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150681,CCCCOc1ccc(-c2ccno2)cc1,5.10,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL151449,CCCCOc1cccc(-c2ccno2)c1,5.11,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL345544,CCCCOc1ccc(-n2cncn2)cc1,5.55,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL359116,CCCCOc1ccc(-c2cc[nH]c2)cc1,4.60,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL347303,CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,4.72,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150799,CCCCOc1ccccc1-c1ccno1,5.21,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL358214,CCCCOc1ccc(-n2ccnc2C)cc1,4.99,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL151037,CCCCOc1ccc(-c2ccnn2C)cc1,5.19,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL348263,CCCCOc1ccc(N/C=N\O)cc1,4.70,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150146,CCCCOc1ccc(-c2cnccn2)cc1,4.43,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL433737,CCCCOc1ccc(-c2ccon2)cc1,4.36,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150278,CCCCOc1ccc(-c2nn[nH]n2)cc1,4.99,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL149750,CCCCOc1ccc(-c2cc[nH]n2)cc1,4.71,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL358880,CCCCOc1ccc(-n2cncc2C)cc1,7.06,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,5.38,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL356594,CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,4.75,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150653,CCCCOc1ccc(-c2ccccn2)cc1,4.58,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL150999,CCCCOc1ccc(-c2ncc[nH]2)cc1,4.57,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL151038,CCCCOc1ccc(-c2oncc2C)cc1,5.09,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL151207,CCCCOc1ccc(-n2cnc(C)c2)cc1,5.16,IC50,=,A,CHEMBL660392,CHEMBL1145921
CHEMBL273921,O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,4.46,IC50,=,A,CHEMBL660397,CHEMBL1136643
CHEMBL10921,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,4.00,IC50,=,A,CHEMBL659096,CHEMBL1135959
CHEMBL3706622,CC(C)(c1ncc(-c2cnccc2Cl)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,4.68,IC50,=,A,CHEMBL660396,CHEMBL1136139
