molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL60568,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL62878,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,6.00,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60256,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,6.22,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64767,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.52,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL114756,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,6.28,IC50,=,A,CHEMBL663537,CHEMBL1136138
CHEMBL279835,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,5.70,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL60622,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,5.40,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL64505,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,5.16,Ki,=,A,CHEMBL665887,CHEMBL1147532
CHEMBL10501,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,5.22,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10532,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,4.41,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL274551,CCCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,4.66,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10271,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Br)c(=O)nc1SCc1ccc(F)cc1,4.25,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10769,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cl)c(=O)nc1SCc1ccc(F)cc1,4.08,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10759,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c(C)c1C,4.62,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL268764,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(C)cc(=O)nc1SCc1ccc(F)cc1,4.33,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL204021,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,4.58,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10921,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,4.43,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL273503,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(Cl)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,4.85,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10604,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,4.62,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10600,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(SC)c(=O)nc1SCc1ccc(F)cc1,4.41,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10440,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,4.82,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10663,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,4.60,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL10441,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,5.05,IC50,=,A,CHEMBL666057,CHEMBL1136645
CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,6.96,IC50,=,A,CHEMBL665270,CHEMBL1130195
CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,4.52,IC50,=,A,CHEMBL663536,CHEMBL1130195
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.75,Ki,=,A,CHEMBL729206,CHEMBL1126649
