molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL152968,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,4.43,IC50,=,A,CHEMBL665756,CHEMBL1148425
CHEMBL292759,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,5.22,IC50,=,A,CHEMBL666254,CHEMBL1132410
CHEMBL153741,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,5.10,IC50,=,A,CHEMBL665756,CHEMBL1148425
CHEMBL150614,CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,4.41,IC50,=,A,CHEMBL665756,CHEMBL1148425
CHEMBL542139,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,4.40,IC50,=,A,CHEMBL666254,CHEMBL1132410
CHEMBL154751,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,4.64,IC50,=,A,CHEMBL665756,CHEMBL1148425
CHEMBL168471,CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,4.09,IC50,=,A,CHEMBL664807,CHEMBL1145779
CHEMBL3706623,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,6.36,IC50,=,A,CHEMBL666013,CHEMBL1136138
CHEMBL5483011,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,6.82,IC50,=,A,CHEMBL666013,CHEMBL1136138
CHEMBL3706619,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccn3)o2)C[C@H]1C(=O)NCC(F)(F)F,5.28,IC50,=,A,CHEMBL666013,CHEMBL1136138
CHEMBL352806,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2c[nH]c3ncnc-3c2)c1,5.40,IC50,=,A,CHEMBL666007,CHEMBL1135234
CHEMBL170159,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2cccc3cnccc23)c1,6.00,IC50,=,A,CHEMBL666008,CHEMBL1135234
CHEMBL349638,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]c(C)nc3c2)c1,5.30,IC50,=,A,CHEMBL666007,CHEMBL1135234
CHEMBL168563,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]nnc3c2)c1,5.12,IC50,=,A,CHEMBL666007,CHEMBL1135234
CHEMBL168538,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]cnc3c2)c1,7.00,IC50,=,A,CHEMBL666007,CHEMBL1135234
CHEMBL3706620,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,8.00,IC50,=,A,CHEMBL666013,CHEMBL1136138
CHEMBL263004,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3ncoc3c2)c1,6.00,IC50,=,A,CHEMBL666008,CHEMBL1135234
CHEMBL114756,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,6.50,IC50,=,A,CHEMBL666013,CHEMBL1136138
CHEMBL169620,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3nsnc3c2)c1,6.00,IC50,=,A,CHEMBL666008,CHEMBL1135234
CHEMBL10501,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,5.30,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10532,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,4.77,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL274551,CCCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,5.30,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10271,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Br)c(=O)nc1SCc1ccc(F)cc1,4.41,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10769,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cl)c(=O)nc1SCc1ccc(F)cc1,4.54,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10759,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c(C)c1C,4.66,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL268764,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(C)cc(=O)nc1SCc1ccc(F)cc1,4.66,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL204021,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,4.57,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10921,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,5.00,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL273503,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(Cl)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,5.16,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10604,CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O,4.96,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10600,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(SC)c(=O)nc1SCc1ccc(F)cc1,4.82,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10440,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1,4.89,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10663,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,4.75,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL10441,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,5.00,IC50,=,A,CHEMBL664804,CHEMBL1136645
CHEMBL27257,COC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,5.60,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL282365,Cn1c2cccnc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,4.71,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL29743,O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,5.24,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL26150,CN(C)c1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,4.58,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL332643,CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,5.60,IC50,=,A,CHEMBL663568,CHEMBL1136306
CHEMBL332643,CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,6.00,IC50,=,A,CHEMBL666748,CHEMBL1136306
CHEMBL332643,CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,5.96,IC50,=,A,CHEMBL663953,CHEMBL1136306
CHEMBL332643,CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,5.39,IC50,=,A,CHEMBL666749,CHEMBL1136306
CHEMBL121550,OC1N=C(c2ccccc2F)c2cc(Cl)ccc2-n2cncc21,5.00,IC50,=,A,CHEMBL666005,CHEMBL1136306
CHEMBL283438,NC(=O)c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,5.87,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,5.00,IC50,=,A,CHEMBL666005,CHEMBL1136306
CHEMBL27415,Cn1c2ccnc(Cl)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,5.03,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL284024,O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,4.37,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL25867,O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,4.90,IC50,=,A,CHEMBL664805,CHEMBL1149093
CHEMBL26678,Cn1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,6.58,IC50,=,A,CHEMBL664805,CHEMBL1149093
