endpoint,st_rae_mean,st_rae_std
CYP1A2,0.9033098913122544,0.052762962476933364
CYP2C9,0.8825539502134332,0.03810446937757521
CYP2D6,0.9472458754948522,0.03636784415723123
CYP3A4,0.7069366963821964,0.044193603876418235
MA (macro-average),0.860011603350684,0.02327249319494005
