fold,emax_spearman
0,0.19990549929271842
1,0.1979722326380942
2,0.21333291128761284
3,0.2248928070134463
4,0.2770485431502381
5,0.29495277469536607
6,0.15186757065295028
7,0.24239370341065256
8,0.23534474381932005
9,0.13825541856717452
10,0.18080857831663347
11,0.1491076765256418
12,0.2087039633533568
13,0.20778366638059712
14,0.18185568037509506
