isoform,n,n_positive,mean_shift_positive,mean_shift_negative,auc_shift_alone
CYP3A4,2334,764,0.5810464198193717,0.22094137985031848,0.8546270050355154
CYP2D6,1493,324,0.6848515555679014,0.15101713743712572,0.9615082005301566
