stage,method,endpoint,mode,seconds,recorded
aux_arms,augmented,fold16,full,64.4,2026-09-15
aux_arms,pubchem,fold16,full,64.2,2026-09-15
aux_arms,pubchem_frozen,fold16,full,37.0,2026-09-15
aux_arms,selection,fold16,full,77.9,2026-09-15
aux_arms,multitask,fold17,full,64.0,2026-09-15
aux_arms,aux_screen,fold17,full,64.0,2026-09-15
aux_arms,augmented,fold17,full,64.2,2026-09-15
aux_arms,pubchem,fold17,full,64.8,2026-09-15
aux_arms,pubchem_frozen,fold17,full,37.2,2026-09-15
aux_arms,selection,fold17,full,78.3,2026-09-15
aux_arms,multitask,fold18,full,63.8,2026-09-15
aux_arms,aux_screen,fold18,full,971.6,2026-09-15
aux_arms,augmented,fold18,full,999.2,2026-09-15
aux_arms,pubchem,fold18,full,210.4,2026-09-15
aux_arms,pubchem_frozen,fold18,full,163.0,2026-09-15
aux_arms,selection,fold18,full,869.5,2026-09-15
aux_arms,multitask,fold19,full,63.7,2026-09-15
aux_arms,aux_screen,fold19,full,63.5,2026-09-15
aux_arms,augmented,fold19,full,63.3,2026-09-15
aux_arms,pubchem,fold19,full,63.5,2026-09-15
aux_arms,pubchem_frozen,fold19,full,37.1,2026-09-15
aux_arms,selection,fold19,full,78.8,2026-09-15
aux_arms,multitask,fold20,full,63.7,2026-09-15
aux_arms,aux_screen,fold20,full,63.6,2026-09-15
aux_arms,augmented,fold20,full,64.3,2026-09-15
aux_arms,pubchem,fold20,full,64.5,2026-09-15
aux_arms,pubchem_frozen,fold20,full,37.1,2026-09-15
aux_arms,selection,fold20,full,78.0,2026-09-15
aux_arms,multitask,fold21,full,64.2,2026-09-15
aux_arms,aux_screen,fold21,full,64.1,2026-09-15
aux_arms,augmented,fold21,full,95.3,2026-09-15
aux_arms,pubchem,fold21,full,511.7,2026-09-15
aux_arms,pubchem_frozen,fold21,full,37.3,2026-09-15
aux_arms,selection,fold21,full,79.2,2026-09-15
aux_arms,multitask,fold22,full,64.5,2026-09-15
aux_arms,aux_screen,fold22,full,64.3,2026-09-15
aux_arms,augmented,fold22,full,64.8,2026-09-15
aux_arms,pubchem,fold22,full,65.1,2026-09-15
aux_arms,pubchem_frozen,fold22,full,37.2,2026-09-15
aux_arms,selection,fold22,full,79.2,2026-09-15
aux_arms,multitask,fold23,full,63.9,2026-09-15
aux_arms,aux_screen,fold23,full,64.8,2026-09-15
aux_arms,augmented,fold23,full,592.3,2026-09-15
aux_arms,pubchem,fold23,full,143.4,2026-09-15
aux_arms,pubchem_frozen,fold23,full,135.5,2026-09-15
aux_arms,selection,fold23,full,80.8,2026-09-15
aux_arms,multitask,fold24,full,62.9,2026-09-15
aux_arms,aux_screen,fold24,full,63.1,2026-09-15
aux_arms,augmented,fold24,full,62.9,2026-09-15
aux_arms,pubchem,fold24,full,64.5,2026-09-15
aux_arms,pubchem_frozen,fold24,full,37.1,2026-09-15
aux_arms,selection,fold24,full,78.5,2026-09-15
