arm,diff,ci_low,ci_high,p_value,n
aux_screen,-0.009209447650134317,-0.013751015547078884,-0.004593351622464009,0.0,32625
pubchem,-0.012866050174672017,-0.01782410387463674,-0.007857709623119056,0.0,32625
pubchem_frozen,0.025206057002857607,0.019156135727295815,0.031095415561931173,0.0,32625
augmented,-0.004681150414810986,-0.00879050915299812,-0.00037238910233008753,0.033,32625
selection,0.0023559619876512006,-0.000178966940083633,0.00493700147904941,0.0664,32625
