method,none,linear,isotonic
augmented,0.7236488637406964,0.7236488637406964,0.7236488637406964
aux_screen,0.7214372599579093,0.7214372599579093,0.7214372599579093
chemprop_multitask,0.7303535563293307,0.7303535563293307,0.7303535563293307
pubchem,0.7160134714584732,0.7160134714584732,0.7160134714584732
pubchem_frozen,0.7523067153537252,0.7523067153537252,0.7523067153537251
selection,0.7334447756401264,0.7334447756401264,0.7334447756401264
