method,macro_st_rae,std,n_folds
pubchem,0.7160134714584732,0.02724478324961961,25
aux_screen,0.7214372599579093,0.029412206591674005,25
augmented,0.7236488637406964,0.026749626408375762,25
chemprop_multitask,0.7303535563293307,0.027446530078257307,25
selection,0.7334447756401264,0.02911935965159264,25
pubchem_frozen,0.7523067153537252,0.03266159555031076,25
