method,CYP3A4_pIC50_direct_inhibition,CYP1A2_pIC50_direct_inhibition,CYP2D6_pIC50_direct_inhibition,CYP2C9_pIC50_direct_inhibition
augmented,0.4905586259098228,0.8625522202801672,0.9170532127977242,0.6244313959750712
aux_screen,0.48446404338046944,0.8406502033057289,0.9256063401045117,0.6350284530409271
chemprop_multitask,0.5011889206465034,0.8377222376251946,0.9314878651273681,0.6510152019182569
pubchem,0.4863500702485855,0.8216041672174507,0.925077620419875,0.6310220279479816
pubchem_frozen,0.5537382468075205,0.8518981766388124,0.9348517602071147,0.6687386777614531
selection,0.5019892562340091,0.840540868932479,0.937337201140117,0.6539117762539007
